Sample:float,Data:float,Data2:float
"74386.0","0.0","22.236175537109375"
"74387.0","0.0","22.236175537109375"
"74388.0","0.0","22.236175537109375"
"74389.0","0.0","22.236175537109375"
"74390.0","0.0","22.236175537109375"
"74391.0","0.0","22.236175537109375"
"74392.0","0.0","22.236175537109375"
"74393.0","0.0","22.236175537109375"
"74394.0","0.0","22.236175537109375"
"74395.0","0.0","22.236175537109375"
"74396.0","0.0","22.236175537109375"
"74397.0","0.0","22.236175537109375"
"74398.0","0.0","22.236175537109375"
"74399.0","0.0","22.236175537109375"
"74400.0","-20.0","22.236175537109375"
"74401.0","-20.0","22.236175537109375"
"74402.0","-20.0","22.229890823364258"
"74403.0","-20.0","22.21732521057129"
"74404.0","-20.0","22.198474884033203"
"74405.0","-20.0","22.173343658447266"
"74406.0","-20.0","22.135643005371094"
"74407.0","-20.0","22.09166145324707"
"74408.0","-20.0","22.04139518737793"
"74409.0","-20.0","21.984846115112305"
"74410.0","-20.0","21.922014236450195"
"74411.0","-20.0","21.8528995513916"
"74412.0","-20.0","21.77750015258789"
"74413.0","-20.0","21.69582176208496"
"74414.0","-20.0","21.614139556884766"
"74415.0","-20.0","21.526174545288086"
"74416.0","-20.0","21.438209533691406"
"74417.0","-20.0","21.350244522094727"
"74418.0","-20.0","21.255996704101562"
"74419.0","-20.0","21.155467987060547"
"74420.0","-20.0","21.061220169067383"
"74421.0","-20.0","20.9606876373291"
"74422.0","-20.0","20.860157012939453"
"74423.0","-20.0","20.759626388549805"
"74424.0","-20.0","20.659093856811523"
"74425.0","-20.0","20.552282333374023"
"74426.0","-20.0","20.451751708984375"
"74427.0","-20.0","20.34493637084961"
"74428.0","-20.0","20.238122940063477"
"74429.0","-20.0","20.137590408325195"
"74430.0","-20.0","20.030778884887695"
"74431.0","-20.0","19.92396354675293"
"74432.0","-20.0","19.817150115966797"
"74433.0","-20.0","19.71033477783203"
"74434.0","-20.0","19.6035213470459"
"74435.0","-20.0","19.49042510986328"
"74436.0","-20.0","19.383609771728516"
"74437.0","-20.0","19.276796340942383"
"74438.0","-20.0","19.169981002807617"
"74439.0","-20.0","19.056884765625"
"74440.0","-20.0","18.950071334838867"
"74441.0","-20.0","18.8432559967041"
"74442.0","-20.0","18.730159759521484"
"74443.0","-20.0","18.62334442138672"
"74444.0","-20.0","18.51024627685547"
"74445.0","-20.0","18.397151947021484"
"74446.0","-20.0","18.29033660888672"
"74447.0","-20.0","18.17723846435547"
"74448.0","-20.0","18.070425033569336"
"74449.0","-20.0","17.95732879638672"
"74450.0","-20.0","17.84423065185547"
"74451.0","-20.0","17.737417221069336"
"74452.0","-20.0","17.624319076538086"
"74453.0","-20.0","17.511220932006836"
"74454.0","-20.0","17.404409408569336"
"74455.0","-20.0","17.291311264038086"
"74456.0","-20.0","17.184497833251953"
"74457.0","-20.0","17.071399688720703"
"74458.0","-20.0","16.958301544189453"
"74459.0","-20.0","16.851490020751953"
"74460.0","-20.0","16.738391876220703"
"74461.0","-20.0","16.631576538085938"
"74462.0","-20.0","16.51848030090332"
"74463.0","-20.0","16.40538215637207"
"74464.0","-20.0","16.298568725585938"
"74465.0","-20.0","16.18547248840332"
"74466.0","-20.0","16.07237434387207"
"74467.0","-20.0","15.965559959411621"
"74468.0","-20.0","15.852463722229004"
"74469.0","-20.0","15.739365577697754"
"74470.0","-20.0","15.632552146911621"
"74471.0","-20.0","15.519454956054688"
"74472.0","-20.0","15.406357765197754"
"74473.0","-20.0","15.29326057434082"
"74474.0","-20.0","15.186446189880371"
"74475.0","-20.0","15.073348999023438"
"74476.0","-20.0","14.960251808166504"
"74477.0","-20.0","14.84715461730957"
"74478.0","-20.0","14.734057426452637"
"74479.0","-20.0","14.627243041992188"
"74480.0","-20.0","14.514145851135254"
"74481.0","-20.0","14.40104866027832"
"74482.0","-20.0","14.287951469421387"
"74483.0","-20.0","14.181137084960938"
"74484.0","-20.0","14.06804084777832"
"74485.0","-20.0","13.95494270324707"
"74486.0","-20.0","13.841845512390137"
"74487.0","-20.0","13.735032081604004"
"74488.0","-20.0","13.621933937072754"
"74489.0","-20.0","13.508837699890137"
"74490.0","-20.0","13.402023315429688"
"74491.0","-20.0","13.288925170898438"
"74492.0","-20.0","13.17582893371582"
"74493.0","-20.0","13.06273078918457"
"74494.0","-20.0","12.955917358398438"
"74495.0","-20.0","12.842820167541504"
"74496.0","-20.0","12.72972297668457"
"74497.0","-20.0","12.622908592224121"
"74498.0","-20.0","12.509811401367188"
"74499.0","-20.0","12.396714210510254"
"74500.0","-20.0","12.28361701965332"
"74501.0","-20.0","12.170519828796387"
"74502.0","-20.0","12.063705444335938"
"74503.0","-20.0","11.950608253479004"
"74504.0","-20.0","11.83751106262207"
"74505.0","-20.0","11.724413871765137"
"74506.0","-20.0","11.611316680908203"
"74507.0","-20.0","11.504502296447754"
"74508.0","-20.0","11.391406059265137"
"74509.0","-20.0","11.278307914733887"
"74510.0","-20.0","11.165210723876953"
"74511.0","-20.0","11.05839729309082"
"74512.0","-20.0","10.94529914855957"
"74513.0","-20.0","10.832202911376953"
"74514.0","-20.0","10.725388526916504"
"74515.0","-20.0","10.612290382385254"
"74516.0","-20.0","10.499194145202637"
"74517.0","-20.0","10.392379760742188"
"74518.0","-20.0","10.279282569885254"
"74519.0","-20.0","10.16618537902832"
"74520.0","-20.0","10.059370994567871"
"74521.0","-20.0","9.946273803710938"
"74522.0","-20.0","9.833176612854004"
"74523.0","-20.0","9.726363182067871"
"74524.0","-20.0","9.613265037536621"
"74525.0","-20.0","9.500168800354004"
"74526.0","-20.0","9.387070655822754"
"74527.0","-20.0","9.280256271362305"
"74528.0","-20.0","9.167160034179688"
"74529.0","-20.0","9.054061889648438"
"74530.0","-20.0","8.94096565246582"
"74531.0","-20.0","8.834151268005371"
"74532.0","-20.0","8.721053123474121"
"74533.0","-20.0","8.607956886291504"
"74534.0","-20.0","8.494858741760254"
"74535.0","-20.0","8.381762504577637"
"74536.0","-20.0","8.274948120117188"
"74537.0","-20.0","8.161850929260254"
"74538.0","-20.0","8.04875373840332"
"74539.0","-20.0","7.935656547546387"
"74540.0","-20.0","7.828842639923096"
"74541.0","-20.0","7.715744972229004"
"74542.0","-20.0","7.60264778137207"
"74543.0","-20.0","7.489550590515137"
"74544.0","-20.0","7.382736682891846"
"74545.0","-20.0","7.269639492034912"
"74546.0","-20.0","7.1565423011779785"
"74547.0","-20.0","7.049727916717529"
"74548.0","-20.0","6.936630725860596"
"74549.0","-20.0","6.823533535003662"
"74550.0","-20.0","6.716719627380371"
"74551.0","-20.0","6.6036224365234375"
"74552.0","-20.0","6.490525245666504"
"74553.0","-20.0","6.377427577972412"
"74554.0","-20.0","6.270613670349121"
"74555.0","-20.0","6.1575164794921875"
"74556.0","-20.0","6.044419288635254"
"74557.0","-20.0","5.93132209777832"
"74558.0","-20.0","5.824508190155029"
"74559.0","-20.0","5.7114105224609375"
"74560.0","-20.0","5.598313331604004"
"74561.0","-20.0","5.48521614074707"
"74562.0","-20.0","5.372118949890137"
"74563.0","-20.0","5.259021759033203"
"74564.0","-20.0","5.152207851409912"
"74565.0","-20.0","5.03911018371582"
"74566.0","-20.0","4.926012992858887"
"74567.0","-20.0","4.819199085235596"
"74568.0","-20.0","4.706101894378662"
"74569.0","-20.0","4.5930047035217285"
"74570.0","-20.0","4.479907512664795"
"74571.0","-20.0","4.373093128204346"
"74572.0","-20.0","4.259995937347412"
"74573.0","-20.0","4.1468987464904785"
"74574.0","-20.0","4.0400848388671875"
"74575.0","-20.0","3.926987409591675"
"74576.0","-20.0","3.813890218734741"
"74577.0","-20.0","3.70707631111145"
"74578.0","-20.0","3.5939788818359375"
"74579.0","-20.0","3.480881690979004"
"74580.0","-20.0","3.374067783355713"
"74581.0","-20.0","3.2609703540802"
"74582.0","-20.0","3.1478731632232666"
"74583.0","-20.0","3.0410592555999756"
"74584.0","-20.0","2.927961826324463"
"74585.0","-20.0","2.8148646354675293"
