DAC,ADC
1.1540207863,1.1184082031
1.176478982,1.13671875
1.2003074884,1.1579589844
1.2254121304,1.1806640625
1.2516936064,1.2041015625
1.2790484428,1.2297363281
1.3073683977,1.2553710938
1.3365420103,1.2846679688
1.3664541245,1.3117675781
1.3969862461,1.3410644531
1.4280183315,1.37109375
1.4594284296,1.4018554688
1.4910924435,1.4333496094
1.5228854418,1.46484375
1.5546822548,1.4970703125
1.5863574743,1.5285644531
1.6177858114,1.5600585938
1.6488437653,1.5915527344
1.6794084311,1.623046875
1.7093589306,1.6538085938
1.7385772467,1.6845703125
1.7669483423,1.7131347656
1.7943593264,1.7424316406
1.820702672,1.7702636719
1.845874548,1.7973632813
1.8697750568,1.8229980469
1.8923102617,1.8479003906
1.9133908749,1.8728027344
1.932934165,1.8962402344
1.9508625269,1.916015625
1.967105031,1.9365234375
1.9815977812,1.9541015625
1.9942834377,1.9702148438
2.0051121712,1.9855957031
2.014040947,1.998046875
2.0210351944,2.0090332031
2.0260667801,2.0192871094
