ADC,DAC
1.6999511719,1.7256082296
1.7109375,1.7428948879
1.7241210938,1.765063405
1.7416992188,1.7920302153
1.763671875,1.8233232498
1.7900390625,1.8581116199
1.8208007813,1.8952499628
1.8552246094,1.9333472252
1.8933105469,1.9708501101
1.9291992188,2.0061378479
1.9658203125,2.0376210213
2.0017089844,2.0638382435
2.0324707031,2.0835468769
2.0581054688,2.0957989693
2.0778808594,2.0999996662
2.0874023438,2.0959444046
2.0932617188,2.0838303566
2.0881347656,2.0642464161
2.0778808594,2.0381338596
2.0588378906,2.0067317486
2.033203125,1.9714975357
2.0024414063,1.9340195656
1.9672851563,1.8959190845
1.9313964844,1.8587511778
1.8947753906,1.8239104748
1.8581542969,1.7925473452
1.8237304688,1.765499711
1.7922363281,1.7432444096
1.7651367188,1.7258728743
1.7438964844,1.7130898237
1.7270507813,1.7042378187
1.7131347656,1.6983436346
1.705078125,1.6941865683
1.6970214844,1.6903800964
1.6955566406,1.6854664087
1.6904296875,1.6780145168
1.6860351563,1.6667169333
1.6772460938,1.6504784822
1.6662597656,1.6284930706
1.6494140625,1.6003006697
1.6274414063,1.5658242702
1.599609375,1.525380969
1.5666503906,1.4796708822
1.5249023438,1.42973876
1.4809570313,1.3769165277
1.4282226563,1.3227467537
1.376953125,1.2688922882
1.3227539063,1.2170391083
1.2707519531,1.1687965393
1.21875,1.1256030798
1.1711425781,1.0886423588
1.1286621094,1.0587743521
1.0920410156,1.0364875793
1.0627441406,1.0218738317
1.0415039063,1.014627099
1.025390625,1.0140684843
1.0180664063,1.0191922188
1.0173339844,1.0287339687
1.0224609375,1.0412535667
1.0319824219,1.0552289486
1.0437011719,1.0691541433
1.0568847656,1.0816371441
1.0715332031,1.0914891958
1.0847167969,1.0978007317
1.0935058594,1.0999997854
1.0993652344,1.0978890657
1.1008300781,1.0916577578
1.0993652344,1.0818706751
1.0927734375,1.0694307089
1.0825195313,1.0555218458
1.0715332031,1.0415325165
1.0583496094,1.0289673805
1.0437011719,1.0193490982
1.0319824219,1.014120698
1.0217285156,1.0145510435
1.0173339844,1.0216516256
1.0180664063,1.0361089706
1.0231933594,1.0582368374
